Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
hf-manual-bed-3-crank-sa636a,HF Manual Bed 3 Crank (SA636A),"<ul class=""vr-list-proddesc""><div class=""vr-list-header-proddesc"">SPECIFICATION</div><li>Overall length 2260mm±20mm</li><li>Overall width 980mm±10mm</li><li>Minimum height 480mm±10mm</li><li>Maximum height 720mm±10mm</li><div class=""vr-list-header-proddesc"">DETAILS</div><li>Back section up/down</li><li>Knee section up/down</li><li>Whole bed up/down</li></ul>",Acme,beds,Beds,,TRUE,Title,Default Title,,,,,,1000,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/beds/bed1/1.webp,1,,FALSE,HF Manual Bed 3 Crank (SA636A),HF Manual Bed 3 Crank (SA636A),beds,Unisex,Adult,,,,new,FALSE,,,,,,,,g,,,active,
hf-electrical-wooden-bed-5-crank-h838a,HF Electrical Wooden Bed 5 Crank (H838A),"<ul class=""vr-list-proddesc""><div class=""vr-list-header-proddesc"">SPECIFICATIONS</div><li>2150×1200×480/720mm</li><div class=""vr-list-header-proddesc"">DETAILS</div><li>1pc handset</li><li>4pcs actuators</li><li>Standard device</li><li>4pcs urine hooks</li><li>4pcs IV drip holes</li><li>1 pair aluminum alloy bedside rails</li><li>Plywood head and foot panels and bedside frame</li><li>Luxurious double-face castors（4pcs with brake)</li></ul>",Acme,beds,Beds,,TRUE,Title,Default Title,,,,,,1000,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/beds/bed2/1.webp,1,,FALSE,HF Electrical Wooden Bed 5 Crank (H838A),HF Electrical Wooden Bed 5 Crank (H838A),beds,Unisex,Adult,,,,new,FALSE,,,,,,,,g,,,active,
hf-icu-bed-5-function-ba868y-ch,HF ICU Bed 5 Function (BA868Y-CH),"<ul class=""vr-list-proddesc""><div class=""vr-list-header-proddesc"">SPECIFICATIONS</div><li>Overall length 2200 mm ± 20 mm</li><li>Overall width 1060 mm ± 10 mm</li><li>Minimum height 480 mm ± 10 mm</li><li>Maximum height 880 mm ± 10 mm</li></ul>",Acme,beds,Beds,,TRUE,Title,Default Title,,,,,,1000,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/beds/bed3/1.webp,1,,FALSE,HF ICU Bed 5 Function (BA868Y-CH),HF ICU Bed 5 Function (BA868Y-CH),beds,Unisex,Adult,,,,new,FALSE,,,,,,,,g,,,active,
hg-electrical-foldable-bed-3-function-467111,HG Electrical Foldable Bed 3 Function (467111),"<ul class=""vr-list-proddesc""><div class=""vr-list-header-proddesc"">SPECIFICATIONS</div><li>Bed Slats Frame: 2000mm x 900mm</li><li>Complete bed with side rails: 2050mm x 1020mm</li><li>Weight: 90kg</li><li>Minimum Height: 210mm</li><li>Max. Height: 830mm</li><li>Max. User Weight: 135kg</li><li>Max. Permitted Load (Patient + Bed Accessories): 170kg</li><li>Standard Mattress</li><div class=""vr-list-header-proddesc"">DETAILS</div><li>Electrical – UP & Down, Headrest</li><li>Manual – Footrest</li></ul>",Acme,beds,Beds,,TRUE,Title,Default Title,,,,,,1000,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/beds/bed4/1.webp,1,,FALSE,HG Electrical Foldable Bed 3 Function (467111),HG Electrical Foldable Bed 3 Function (467111),beds,Unisex,Adult,,,,new,FALSE,,,,,,,,g,,,active,
hf-electrical-child-bed-3-crank-ch19,HF Electrical Child Bed 3 Crank (CH19),"<ul class=""vr-list-proddesc""><div class=""vr-list-header-proddesc"">SPECIFICATIONS</div><li>Full bed length 2020mm±10mm</li><li>Full bed width 980mm±10mm</li><li>Height of the bed and the floor (minimum) 490mm ± 10mm</li><li>Height of the bed and the floor (maximum) 750mm ± 10mm</li></ul>",Acme,beds,Beds,,TRUE,Title,Default Title,,,,,,1000,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/beds/bed5/1.webp,1,,FALSE,HF Electrical Child Bed 3 Crank (CH19),HF Electrical Child Bed 3 Crank (CH19),beds,Unisex,Adult,,,,new,FALSE,,,,,,,,g,,,active,
hms-vilgo-electrical-bariatric-bed-euro3000,HMS-Vilgo Electrical Bariatric Bed (EURO3000),"<ul class=""vr-list-proddesc""><div class=""vr-list-header-proddesc"">DETAILS</div><li>Electric variable height from 29 to 82 cm</li><li>back rest</li><li>Manual leg section (Euro 3000)</li><li>Electrical leg section without knee-break (Euro 3001)</li><li>Electrically operated leg section with knee-break (Euro 3002)</li><li>Handset with key lockable</li><li>Epoxy coated metalwork in beige (RAL 1015) – other colors available</li><li>2 lifting or IV pole supports</li><li>4 Ø100 castors with brakes</li></ul>",Acme,beds,Beds,,TRUE,Title,Default Title,,,,,,1000,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/beds/bed6/1.webp,1,,FALSE,HMS-Vilgo Electrical Bariatric Bed (EURO3000),HMS-Vilgo Electrical Bariatric Bed (EURO3000),beds,Unisex,Adult,,,,new,FALSE,,,,,,,,g,,,active,
hms-vilgo-junior-bed-7010012s01,HMS-Vilgo Junior Bed (7010012S01),"<ul class=""vr-list-proddesc""><div class=""vr-list-header-proddesc"">SPECIFICATIONS</div><li>Electric variable height from 29 to 82 cm</li><li>Dimensions: 70 X 170 cm</li><div class=""vr-list-header-proddesc"">DETAILS</div><li>Electrically operated leg section with knee-break</li><li>Mattress platform with welded metal slats «Boiserie» end boards</li><li>Handset with key lockable</li><li>2 lifting or IV pole supports (or 4 optional)</li><li>4 Ø100 plastic braked castors</li></ul>",Acme,beds,Beds,,TRUE,Title,Default Title,,,,,,1000,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/beds/bed7/1.webp,1,,FALSE,HMS-Vilgo Junior Bed (7010012S01),HMS-Vilgo Junior Bed (7010012S01),beds,Unisex,Adult,,,,new,FALSE,,,,,,,,g,,,active,
vigorous-11-–-hospital-bed,Vigorous 11 – Hospital Bed,"<ul class=""vr-list-proddesc""><div class=""vr-list-header-proddesc"">FEATURES</div><li>Easy to clean four-piece bed platform.</li><li>Height, Trendelenburg, reverse Trendelenburg, head and foot movements with the help of an electrical motor.</li><li>Head and foot platforms with automatic sliding system.</li><li>Back angle indication assembled on head rail.</li><li>Angle indication assembled on foot rail showing Trendelenburg and reverse Trendelenburg.</li><li>Easily removable and installable head board system designed of hygienic PE plastic.</li><li>Shock resistance plastic bumper wheels.</li><li>Metal components dyed with anti-corrosion electrostatic powder paint after being treated with phosphate.</li></ul>",Acme,beds,Beds,,TRUE,Title,Default Title,,,,,,1000,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/beds/bed8/1.jpeg,1,,FALSE,Vigorous 11 – Hospital Bed,Vigorous 11 – Hospital Bed,beds,Unisex,Adult,,,,new,FALSE,,,,,,,,g,,,active,
vigorous-11-–-hospital-bed,,,,,,,,,,,,,,,,,,,,,,,,,https://eshop.worldcloud9.com/assets/images/products/medshop/beds/bed8/2.jpeg,2,,,,,,,,,,,,,,,,,,,,,,,,
vigorous-11-–-hospital-bed,,,,,,,,,,,,,,,,,,,,,,,,,https://eshop.worldcloud9.com/assets/images/products/medshop/beds/bed8/3.jpeg,3,,,,,,,,,,,,,,,,,,,,,,,,
