Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
direct-care-standard-walker-with-wheels-dc-9125l,Direct Care Standard Walker with Wheels (DC-9125L),"<ul class=""vr-list-proddesc""><div class=""vr-list-header-proddesc"">SPECIFICATIONS</div><li>Max. User Weight (kg) 150</li><div class=""vr-list-header-proddesc"">DETAILS</div><li>Push-button, height-adjustable legs.</li><li>Comfortable Soft handle</li><li>Sturdy 7/8É?? or 1É?? anodized aluminum tube construction ensures maximum strength while remaining lightweight, with single steel cross brace to provide stability</li><li>Easy one push-button mechanisms</li><li>Height Adjust: From : 32É??39É??</li></ul>",Acme,cannesandstandingaids,Cannes & Standing Aids,,TRUE,Title,Default Title,,,,,,0,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/cannesandstandingaids/cannes1/1.webp,1,,FALSE,Direct Care Standard Walker with Wheels (DC-9125L),Direct Care Standard Walker with Wheels (DC-9125L),cannesandstandingaids,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
klip-4-wheeled-walker,Klip 4 Wheeled Walker,"<ul class=""vr-list-proddesc""><div class=""vr-list-header-proddesc"">FEATURES</div><li>Height adjustable to ensure proper fit and accommodate future growth</li><li>Foot-Activated swivel wheel lock with an audible É??clickÉ?ù for easier and greater control</li><li>On/off one-directional rear wheels prevents walker from rolling backwards. Simple to disengage when walking skills improve</li><li>Latex-free handgrips with flanged ends reduce strain on userÉ??s hands</li><li>Folds easily for compact storage and transport</li><li>3-year limited warranty</li></ul>",Acme,cannesandstandingaids,Cannes & Standing Aids,,TRUE,Title,Default Title,,,,,,0,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/cannesandstandingaids/cannes10/1.jpeg,1,,FALSE,Klip 4 Wheeled Walker,Klip 4 Wheeled Walker,cannesandstandingaids,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
rollator-with-brakes-and-lock,Rollator with Brakes and Lock,"<ul class=""vr-list-proddesc""><div class=""vr-list-header-proddesc"">FEATURES</div><li>Aluminum structure</li><li>Backrest and seat covered with sponge</li><li>4 wheels and basket that can be placed in front of and under the seat (14.5 cm diameter)</li><li>This rollator can be folded when the plastic seat is lifted</li></ul>",Acme,cannesandstandingaids,Cannes & Standing Aids,,TRUE,Title,Default Title,,,,,,0,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/cannesandstandingaids/cannes11/1.jpg,1,,FALSE,Rollator with Brakes and Lock,Rollator with Brakes and Lock,cannesandstandingaids,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
squiggles-stander,Squiggles Stander,"<ul class=""vr-list-proddesc""><div class=""vr-list-header-proddesc"">FEATURES</div><li>Fun, bright pads</li><li>Squiggles 3-in-1 Stander fits effortlessly into nursery and school settings</li><li>The age-appropriate design</li><li>Helping encourage home therapy</li><li>Being low to the ground</li><li>Makes socializing and interacting with others at eye level easier.</li><li>Squiggles helps children engage with their world from a different perspective and enjoy new experiences</li></ul>",Acme,cannesandstandingaids,Cannes & Standing Aids,,TRUE,Title,Default Title,,,,,,0,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/cannesandstandingaids/cannes12/1.png,1,,FALSE,Squiggles Stander,Squiggles Stander,cannesandstandingaids,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
squiggles-stander,,,,,,,,,,,,,,,,,,,,,,,,,https://eshop.worldcloud9.com/assets/images/products/medshop/cannesandstandingaids/cannes12/2.png,2,,,,,,,,,,,,,,,,,,,,,,,,
squiggles-stander,,,,,,,,,,,,,,,,,,,,,,,,,https://eshop.worldcloud9.com/assets/images/products/medshop/cannesandstandingaids/cannes12/3.png,3,,,,,,,,,,,,,,,,,,,,,,,,
horizon-stander,Horizon Stander,"<ul class=""vr-list-proddesc""><div class=""vr-list-header-proddesc"">FEATURES</div><li>Pelvic Belt</li><li>Knee Brackets</li><li>Head Support</li><li>Footplates</li><li>Angle Indicator</li><li>Enables kids to interact eye-to-eye with peers</li><li>Improves wellbeing, alertness and sleep patterns</li></ul>",Acme,cannesandstandingaids,Cannes & Standing Aids,,TRUE,Title,Default Title,,,,,,0,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/cannesandstandingaids/cannes13/1.png,1,,FALSE,Horizon Stander,Horizon Stander,cannesandstandingaids,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
horizon-stander,,,,,,,,,,,,,,,,,,,,,,,,,https://eshop.worldcloud9.com/assets/images/products/medshop/cannesandstandingaids/cannes13/2.png,2,,,,,,,,,,,,,,,,,,,,,,,,
pronestander-É??-leckey,Pronestander É?? Leckey,"<ul class=""vr-list-proddesc""><div class=""vr-list-header-proddesc"">FEATURES</div><li>Easy to set up and adjust for multiple users.</li><li>Five incremental secure prone positions possible, from 85? to 45?.</li><li>Supplied as standard with individually adjustable chest, hip, knee and sandal supports.</li><li>Enables de-rotation of the hips as well as alignment of the pelvis</li><li>An adjustable knee plate and cups</li><li>Feet are maintained in a secure and stable position</li></ul>",Acme,cannesandstandingaids,Cannes & Standing Aids,,TRUE,Title,Default Title,,,,,,0,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/cannesandstandingaids/cannes14/1.jpeg,1,,FALSE,Pronestander É?? Leckey,Pronestander É?? Leckey,cannesandstandingaids,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
pronestander-É??-leckey,,,,,,,,,,,,,,,,,,,,,,,,,https://eshop.worldcloud9.com/assets/images/products/medshop/cannesandstandingaids/cannes14/2.jpeg,2,,,,,,,,,,,,,,,,,,,,,,,,
