Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
direct-care-lift-chair-pvc,Direct Care Lift Chair PVC,<ul></ul><div class='list-header'>SPECIFICATIONS</div><ul><li>Max User Weight: 150 KG</li><li>Product Weight : 55 KG</li></ul>,,Health & Beauty > Health Care > Durable Medical Equipment,Medical Equipment,"dme, medical equipment",TRUE,Title,Default Title,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/dme/dme1/1.webp,1,,FALSE,Direct Care Lift Chair PVC,Direct Care Lift Chair PVC,Health & Beauty > Health Care > Durable Medical Equipment,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
direct-care-ultralight-aluminum-i.v-stand-(dc-2091),Direct Care Ultralight Aluminum I.V Stand (DC-2091),<ul></ul><div class='list-header'>SPECIFICATIONS</div><ul><li>Base Length::60 cm</li><li>Base Width::60 cm</li><li>Overall Height: 117 cm(min); 210 cm (max)</li></ul><div class='list-header'>DETAILS</div><ul><li>Sturdy aluminum construction</li><li>Height adjustable with friction grip lock</li><li>Available in 2 hooks and 4 hooks</li></ul>,,Health & Beauty > Health Care > Durable Medical Equipment,Medical Equipment,"dme, medical equipment",TRUE,Title,Default Title,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/dme/dme10/1.webp,1,,FALSE,Direct Care Ultralight Aluminum I.V Stand (DC-2091),Direct Care Ultralight Aluminum I.V Stand (DC-2091),Health & Beauty > Health Care > Durable Medical Equipment,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
direct-care-lift-chair-normal,Direct Care Lift Chair Normal,<ul></ul><div class='list-header'>SPECIFICATIONS</div><ul><li>Max User Weight: 150 KG</li><li>Product Weight : 55 KG</li></ul>,,Health & Beauty > Health Care > Durable Medical Equipment,Medical Equipment,"dme, medical equipment",TRUE,Title,Default Title,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/dme/dme2/1.webp,1,,FALSE,Direct Care Lift Chair Normal,Direct Care Lift Chair Normal,Health & Beauty > Health Care > Durable Medical Equipment,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
d,D,<ul></ul>,,Health & Beauty > Health Care > Durable Medical Equipment,Medical Equipment,"dme, medical equipment",TRUE,Title,Default Title,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/dme/dme3/1.webp,1,,FALSE,D,D,Health & Beauty > Health Care > Durable Medical Equipment,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
4ever-over-bed-table-(hp1075),4ever Over Bed Table (HP1075),<ul></ul><div class='list-header'>DETAILS</div><ul><li>Powder coated steel construction</li><li>Angle adjustable</li><li>Can be folded</li><li>Free tools</li><li>Suitable for bed and wheelchair</li></ul>,,Health & Beauty > Health Care > Durable Medical Equipment,Medical Equipment,"dme, medical equipment",TRUE,Title,Default Title,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/dme/dme4/1.webp,1,,FALSE,4ever Over Bed Table (HP1075),4ever Over Bed Table (HP1075),Health & Beauty > Health Care > Durable Medical Equipment,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
4ever-back-rest-(he5210),4ever Back Rest (HE5210),<ul></ul><div class='list-header'>SPECIFICATIONS</div><ul><li>Weight (Approximately): 2kg</li><li>Adjusts to 5 positions (3.5É?ù flat to 22.5É?ù) from a low lying angle to an upright sitting position</li></ul>,,Health & Beauty > Health Care > Durable Medical Equipment,Medical Equipment,"dme, medical equipment",TRUE,Title,Default Title,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/dme/dme5/1.webp,1,,FALSE,4ever Back Rest (HE5210),4ever Back Rest (HE5210),Health & Beauty > Health Care > Durable Medical Equipment,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
4ever-over-bed-table-gas-lift-(hp1035),4ever Over Bed Table Gas Lift (HP1035),<ul></ul><div class='list-header'>SPECIFICATIONS</div><ul><li>8.82 X 45 X 78~105 CM</li><li>Height adjustable range É?? 78cm to 105cm</li></ul><div class='list-header'>DETAILS</div><ul><li>Gas assisted lift mechanism</li><li>One-touch height adjustment</li><li>High quality powder coated steel frame</li><li>Two lockable castors</li><li>Wide C É?? base to fit around all lift chairs</li></ul>,,Health & Beauty > Health Care > Durable Medical Equipment,Medical Equipment,"dme, medical equipment",TRUE,Title,Default Title,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/dme/dme6/1.webp,1,,FALSE,4ever Over Bed Table Gas Lift (HP1035),4ever Over Bed Table Gas Lift (HP1035),Health & Beauty > Health Care > Durable Medical Equipment,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
hf-bedside-cabinet-(g01),HF Bedside Cabinet (G01),<ul></ul><div class='list-header'>SPECIFICATIONS</div><ul><li>480??480??820mmã¨?L??W??Hã¨?</li></ul>,,Health & Beauty > Health Care > Durable Medical Equipment,Medical Equipment,"dme, medical equipment",TRUE,Title,Default Title,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/dme/dme7/1.webp,1,,FALSE,HF Bedside Cabinet (G01),HF Bedside Cabinet (G01),Health & Beauty > Health Care > Durable Medical Equipment,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
direct-care-lifting-pole-(dc-432),Direct Care Lifting Pole (DC-432),<ul></ul><div class='list-header'>SPECIFICATIONS</div><ul><li>Height: 128 to 150 cm</li><li>Footprint: 71.5 x 82 cm</li><li>Total Weight: 11.6kg</li><li>Capacity: 200kg</li></ul>,,Health & Beauty > Health Care > Durable Medical Equipment,Medical Equipment,"dme, medical equipment",TRUE,Title,Default Title,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/dme/dme8/1.webp,1,,FALSE,Direct Care Lifting Pole (DC-432),Direct Care Lifting Pole (DC-432),Health & Beauty > Health Care > Durable Medical Equipment,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
direct-care-adjustable-bed-side-rail-(dc-be425),Direct Care Adjustable Bed Side Rail (DC-BE425),<ul></ul><div class='list-header'>DETAILS</div><ul><li>This metal bed rail is designed to help users pull themselves up from a lying to a sitting position while in bed and to provide a stable support for users getting in and out of bed</li></ul>,,Health & Beauty > Health Care > Durable Medical Equipment,Medical Equipment,"dme, medical equipment",TRUE,Title,Default Title,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/dme/dme9/1.webp,1,,FALSE,Direct Care Adjustable Bed Side Rail (DC-BE425),Direct Care Adjustable Bed Side Rail (DC-BE425),Health & Beauty > Health Care > Durable Medical Equipment,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
