Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
technomoem-patient-hoist-powerlift-135kg-10598,Technomoem Patient Hoist Powerlift 135kg (10598),"<ul class=""vr-list-proddesc""><div class='vr-list-header-proddesc'>SPECIFICATIONS</div><li>Maximum load capacity: 135 kg</li><div class='vr-list-header-proddesc'>DETAILS</div><li>Compact design</li><li>Single castors with steel housing and double row bearings</li><li>Integrated charger with 100.240 V 50-60 Hz entry</li><li>Electronic parts meet EN-60601-1 and EN-60601-1.2 standard</li><li>Electric protection IP X4</li><li>Audible low level battery alarm</li><li>Control box with emergency stop button</li></ul>",Unknown,Health & Beauty > Health Care > Patient Transfer & Hoists,Patient Transfer & Hoists,"hoist, patient transfer, medical",TRUE,Title,Default Title,,,,,,0,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/hoistorpatienttransfer/hoist1/1.webp,1,,FALSE,Technomoem Patient Hoist Powerlift 135kg (10598),Technomoem Patient Hoist Powerlift 135kg (10598),Health & Beauty > Health Care > Patient Transfer & Hoists,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
direct-care-patient-transfer-belt-dc-1986-fof,Direct Care Patient Transfer Belt (DC-1986-FOF),"<ul class=""vr-list-proddesc""><div class='vr-list-header-proddesc'>SPECIFICATIONS</div><li>Max User Weight (kg): 115</li><li>Small (94×15.5)</li><li>Medium (104×16.5)</li><li>Large (114×18)</li><div class='vr-list-header-proddesc'>DETAILS</div><li>The belt has four sets of handles, placed to give the user a choice of lifting positions and to accommodate the differing sizes of patient</li><li>It is made from soft, padded materials with strong handles and patented eco PER anti-slip mesh on the back area, providing stronger, safer and easier patient handling</li><li>It enables caregiver to maintain a safe posture reducing work-related injury</li></ul>",Unknown,Health & Beauty > Health Care > Patient Transfer & Hoists,Patient Transfer & Hoists,"hoist, patient transfer, medical",TRUE,Title,Default Title,,,,,,0,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/hoistorpatienttransfer/hoist10/1.webp,1,,FALSE,Direct Care Patient Transfer Belt (DC-1986-FOF),Direct Care Patient Transfer Belt (DC-1986-FOF),Health & Beauty > Health Care > Patient Transfer & Hoists,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
direct-care-transfer-sheet-dc-pts-r,Direct Care Transfer Sheet (DC-PTS-R),"<ul class=""vr-list-proddesc""><div class='vr-list-header-proddesc'>SPECIFICATIONS</div><li>Size : (115X180) x 62 cm</li><li>Maximum user load: 120 Kg</li><li>Net weight: 1kg</li><li>Material: Soft Oxford Fabric</li></ul>",Unknown,Health & Beauty > Health Care > Patient Transfer & Hoists,Patient Transfer & Hoists,"hoist, patient transfer, medical",TRUE,Title,Default Title,,,,,,0,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/hoistorpatienttransfer/hoist11/1.webp,1,,FALSE,Direct Care Transfer Sheet (DC-PTS-R),Direct Care Transfer Sheet (DC-PTS-R),Health & Beauty > Health Care > Patient Transfer & Hoists,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
akcesmed-lifter-standing-frame,AkcesMed Lifter Standing Frame,"<ul class=""vr-list-proddesc""><div class='vr-list-header-proddesc'>SPECIFICATIONS</div><li>Users with weight up to 120 kg</li><div class='vr-list-header-proddesc'>DETAILS</div><li>Electric actuator with integrated sit allows the user for independent use of the device by means of the remote control</li><li>LIFTER’s seat also serves as a pelvic support that keeps the user in the proper position and secures him in the device</li></ul>",Unknown,Health & Beauty > Health Care > Patient Transfer & Hoists,Patient Transfer & Hoists,"hoist, patient transfer, medical",TRUE,Title,Default Title,,,,,,0,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/hoistorpatienttransfer/hoist12/1.webp,1,,FALSE,AkcesMed Lifter Standing Frame,AkcesMed Lifter Standing Frame,Health & Beauty > Health Care > Patient Transfer & Hoists,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
technomoem-powerlift-175kg-10599,Technomoem Powerlift 175kg (10599),"<ul class=""vr-list-proddesc""><div class='vr-list-header-proddesc'>SPECIFICATIONS</div><li>Maximum load capacity: 175 kg</li><div class='vr-list-header-proddesc'>DETAILS</div><li>Electronic parts meet EN-60601-1 and EN-60601-1.2 standard</li><li>Electric protection IP X4</li><li>Battery charge: 200 work cycles</li><li>Integrated charger with 230V 50Hz entry</li><li>Control box with emergency stop button</li><li>Externally chargeable battery option</li><li>Audible low level battery alarm</li><li>Manual actuator release option</li><li>Padded hanger. Straps with non-return system</li><li>360° hanger rotation</li><li>Wired handset unit</li><li>Actuator manually removable</li><li>Breaks on the rear end wheels</li><li>Detachable in two sectors</li><li>Epoxy-polyester coated steel structure</li></ul>",Unknown,Health & Beauty > Health Care > Patient Transfer & Hoists,Patient Transfer & Hoists,"hoist, patient transfer, medical",TRUE,Title,Default Title,,,,,,0,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/hoistorpatienttransfer/hoist2/1.webp,1,,FALSE,Technomoem Powerlift 175kg (10599),Technomoem Powerlift 175kg (10599),Health & Beauty > Health Care > Patient Transfer & Hoists,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
technomoem-powerlift-up-2,Technomoem Powerlift Up-2,"<ul class=""vr-list-proddesc""><div class='vr-list-header-proddesc'>SPECIFICATIONS</div><li>Maximum load 160kg</li><li>Height: Maximum 102.5cm, minimum 134cm</li><div class='vr-list-header-proddesc'>DETAILS</div><li>Foot platform with three positions</li><li>Actuator manually removable</li><li>Audible low level battery alarm</li><li>LCD screen with battery</li><li>Control box with emergency stop button</li><li>Control through box control</li><li>Possibility to consult the battery by USB</li><li>Sling included</li><li>Breaks on the rear end wheels</li><li>Detachable in two sectors</li><li>Easy to transport and store</li><li>Epoxy-polyester coated steel structure</li></ul>",Unknown,Health & Beauty > Health Care > Patient Transfer & Hoists,Patient Transfer & Hoists,"hoist, patient transfer, medical",TRUE,Title,Default Title,,,,,,0,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/hoistorpatienttransfer/hoist3/1.webp,1,,FALSE,Technomoem Powerlift Up-2,Technomoem Powerlift Up-2,Health & Beauty > Health Care > Patient Transfer & Hoists,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
hms-vilgo-lifty-6-hoist-5010060s2,HMS-Vilgo Lifty 6 Hoist (5010060S2),"<ul class=""vr-list-proddesc""><div class='vr-list-header-proddesc'>SPECIFICATIONS</div><li>Maximum User Weight: 330kg</li><div class='vr-list-header-proddesc'>DETAILS</div><li>4-point spreader bar (360° range)</li><li>Front castors of 100mm and rear castors of 125 mm</li><li>Large steering handle</li><li>Electrically operated leg spreader</li><li>Electrical and manual emergency release system</li><li>Linak motor</li><li>Anti-tearing kit</li><li>Easy maneuverability</li><li>Large sling included</li></ul>",Unknown,Health & Beauty > Health Care > Patient Transfer & Hoists,Patient Transfer & Hoists,"hoist, patient transfer, medical",TRUE,Title,Default Title,,,,,,0,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/hoistorpatienttransfer/hoist4/1.webp,1,,FALSE,HMS-Vilgo Lifty 6 Hoist (5010060S2),HMS-Vilgo Lifty 6 Hoist (5010060S2),Health & Beauty > Health Care > Patient Transfer & Hoists,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
hg-turnax-430916,HG Turnax (430916),"<ul class=""vr-list-proddesc""><div class='vr-list-header-proddesc'>SPECIFICATIONS</div><li>Maximum User Weight: 130kg</li><div class='vr-list-header-proddesc'>DETAILS</div><li>Height adjustable handle & kneepads</li><li>Foam padded handles</li><li>Rotating base</li><li>Transport castors</li><li>Epoxy coated steel frame</li></ul>",Unknown,Health & Beauty > Health Care > Patient Transfer & Hoists,Patient Transfer & Hoists,"hoist, patient transfer, medical",TRUE,Title,Default Title,,,,,,0,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/hoistorpatienttransfer/hoist5/1.webp,1,,FALSE,HG Turnax (430916),HG Turnax (430916),Health & Beauty > Health Care > Patient Transfer & Hoists,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
hg-aero-move-transfer-platform-430921,HG Aero Move Transfer Platform (430921),"<ul class=""vr-list-proddesc""><div class='vr-list-header-proddesc'>SPECIFICATIONS</div><li>Maximum User Weight: 130kg</li><div class='vr-list-header-proddesc'>DETAILS</div><li>Height adjustable kneepads</li><li>Multi-grip handle</li><li>Safety strap</li><li>Anti-tip base: 6 castors (2 with brakes)</li></ul>",Unknown,Health & Beauty > Health Care > Patient Transfer & Hoists,Patient Transfer & Hoists,"hoist, patient transfer, medical",TRUE,Title,Default Title,,,,,,0,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/hoistorpatienttransfer/hoist6/1.webp,1,,FALSE,HG Aero Move Transfer Platform (430921),HG Aero Move Transfer Platform (430921),Health & Beauty > Health Care > Patient Transfer & Hoists,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
direct-care-butterfly-transfer-board-ez-510,Direct Care Butterfly Transfer Board (EZ-510),"<ul class=""vr-list-proddesc""><div class='vr-list-header-proddesc'>SPECIFICATIONS</div><li>Size: 75.5 x 32.2 x 1cm</li><li>Weight: 1.4kg</li><li>Max Load: 130kg when gab ≤ 30 cm</li><li>150kg when gab 20 cm</li><li>Weight capacity up to 130kg</li><div class='vr-list-header-proddesc'>DETAILS</div><li>Lightweight and easy to care</li><li>Anti-slip pads providing stability during transfer</li></ul>",Unknown,Health & Beauty > Health Care > Patient Transfer & Hoists,Patient Transfer & Hoists,"hoist, patient transfer, medical",TRUE,Title,Default Title,,,,,,0,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/hoistorpatienttransfer/hoist7/1.webp,1,,FALSE,Direct Care Butterfly Transfer Board (EZ-510),Direct Care Butterfly Transfer Board (EZ-510),Health & Beauty > Health Care > Patient Transfer & Hoists,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
