Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
karma-ergo-lite-2-aluminum-wheelchair,Karma Ergo Lite 2 Aluminum Wheelchair,<ul><div class='list-header'>SPECIFICATIONS</div><ul><li>Max. User Weight (kg)100</li><li>Total Mass (kg)9.2</li><li>Size: 16 inch and 18 inch</li></ul><div class='list-header'>DETAILS</div><ul><li>Ultralight and Sturdy</li><li>S-Ergo Seating System</li><li>Detachable Swing-Away Footrests</li><li>Compact and Portable</li><li>Foldable Backrest and Frame</li></ul></ul>,Karma,Health & Beauty > Health Care > Mobility & Accessibility > Wheelchairs,Wheelchairs,"mobility, wheelchair, Karma",TRUE,Title,Default Title,,,,,,0,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/mobility/mob/1.webp,1,,FALSE,Karma Ergo Lite 2 Aluminum Wheelchair,Karma Ergo Lite 2 Aluminum Wheelchair,Health & Beauty > Health Care > Mobility & Accessibility > Wheelchairs,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
karma-ergo-lite-2-aluminum-wheelchair,,,,,,,,,,,,,,,,,,,,,,,,,https://eshop.worldcloud9.com/assets/images/products/medshop/mobility/mob/2.webp,2,,FALSE,,,,,,,,,,,,,,,,,,,,,,
greencare-db1-heavy-duty,Greencare DB1 Heavy Duty,<ul><div class='list-header'>FEATURES</div><ul><li>Lap strap</li><li>Thoracic support</li><li>Extended handles</li><li>Extended seat</li><li>Outrigged frame</li><li>Spoke guards</li><li>Crutch holder</li><li>Brake lever extension</li></ul></ul>,Greencare,Health & Beauty > Health Care > Mobility & Accessibility > Wheelchairs,Wheelchairs,"mobility, wheelchair, Greencare",TRUE,Title,Default Title,,,,,,0,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/mobility/mob10/1.jpg,1,,FALSE,Greencare DB1 Heavy Duty,Greencare DB1 Heavy Duty,Health & Beauty > Health Care > Mobility & Accessibility > Wheelchairs,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
greencare-junior,Greencare Junior,<ul><div class='list-header'>FEATURES</div><ul><li>Spoke guards</li><li>Greenrim ergonomic design for easy push</li><li>Brake lever extension</li><li>One arm drive</li><li>Super heavy duty wheel</li><li>Hub brakes</li><li>Reinforced back post</li><li>Crutch holder</li><li>Complete tray</li><li>Stump supports</li><li>Universal footplates</li></ul></ul>,Greencare,Health & Beauty > Health Care > Mobility & Accessibility > Wheelchairs,Wheelchairs,"mobility, wheelchair, Greencare",TRUE,Title,Default Title,,,,,,0,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/mobility/mob11/1.jpg,1,,FALSE,Greencare Junior,Greencare Junior,Health & Beauty > Health Care > Mobility & Accessibility > Wheelchairs,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
id-soft-evolution,ID Soft Evolution,<ul><div class='list-header'>FEATURES</div><ul><li>Long wings headrest</li><li>Standard shelf</li><li>Viscoelastic foam seat cushion</li><li>Trunk support and abduction wedge</li><li>Swiveling cradled armrest</li><li>Anti tip castors</li></ul></ul>,Drive DeVilbiss Healthcare,Health & Beauty > Health Care > Mobility & Accessibility > Wheelchairs,Wheelchairs,"mobility, wheelchair, Drive DeVilbiss Healthcare",TRUE,Title,Default Title,,,,,,0,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/mobility/mob12/1.png,1,,FALSE,ID Soft Evolution,ID Soft Evolution,Health & Beauty > Health Care > Mobility & Accessibility > Wheelchairs,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
start-m6-junior,Start M6 Junior,"<ul><div class='list-header'>FEATURES</div><ul><li>Upholstery color, black</li><li>Aluminum tube frame</li><li>Nylon seat and back upholstery, adjustable, black</li><li>Side panel with height-adjustable arm rest</li><li>Rear wheels with quick-release axles</li><li>Knee lever wheel lock</li><li>Swing-away footrest holders</li><li>Plastic footplate</li><li>Individual footrest, angle-adjustable</li></ul></ul>",Ottobock,Health & Beauty > Health Care > Mobility & Accessibility > Wheelchairs,Wheelchairs,"mobility, wheelchair, Ottobock",TRUE,Title,Default Title,,,,,,0,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/mobility/mob13/1.png,1,,FALSE,Start M6 Junior,Start M6 Junior,Health & Beauty > Health Care > Mobility & Accessibility > Wheelchairs,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
wingus-power-wheelchair,Wingus Power Wheelchair,"<ul><div class='list-header'>FEATURES</div><ul><li>Back support angle</li><li>Adjustable seat depth</li><li>Anti-tipper</li><li>Arm support</li><li>A comfortable ride</li><li>Just 57 kg</li><li>Seat belt for secure support</li><li>Compact size for ease of use in confined spaces</li><li>Height-adjustable leg support with flip-up, angle-adjustable foot plate</li></ul></ul>",Ottobock,Health & Beauty > Health Care > Mobility & Accessibility > Wheelchairs,Wheelchairs,"mobility, wheelchair, Ottobock",TRUE,Title,Default Title,,,,,,0,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/mobility/mob14/1.webp,1,,FALSE,Wingus Power Wheelchair,Wingus Power Wheelchair,Health & Beauty > Health Care > Mobility & Accessibility > Wheelchairs,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
start-b2-ottobock,Start B2 – Ottobock,"<ul><div class='list-header'>FEATURES</div><ul><li>Antibacterial push handles</li><li>Tip-assist integrated into the frame</li><li>Back support with lumbar curve</li><li>Side panel with forearm support: height can be adjusted (10 levels) or set (three levels), depth can be set, elevating</li><li>8″ caster wheels with PU tyres</li><li>Knee lever wheel lock</li><li>24″ drive wheels with PU tyres</li><li>Segmented foot plate with adjustable angle</li><li>Leg support, segmented, removable</li></ul></ul>",Ottobock,Health & Beauty > Health Care > Mobility & Accessibility > Wheelchairs,Wheelchairs,"mobility, wheelchair, Ottobock",TRUE,Title,Default Title,,,,,,0,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/mobility/mob15/1.jpg,1,,FALSE,Start B2 – Ottobock,Start B2 – Ottobock,Health & Beauty > Health Care > Mobility & Accessibility > Wheelchairs,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
karma-agile-aluminum-wheelchair-big-wheels,Karma Agile Aluminum Wheelchair Big Wheels,<ul><div class='list-header'>SPECIFICATIONS</div><ul><li>Size: 18 inch and 20 inch</li><li>Max. User Weight (kg) 125</li></ul><div class='list-header'>DETAILS</div><ul><li>Extensive Range of Configuration</li><li>Adjustable Rear Wheels Axle</li><li>Easy Transfer with Agile</li><li>Compact Size with Foldable Backrest</li></ul></ul>,Karma,Health & Beauty > Health Care > Mobility & Accessibility > Wheelchairs,Wheelchairs,"mobility, wheelchair, Karma",TRUE,Title,Default Title,,,,,,0,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/mobility/mob2/1.webp,1,,FALSE,Karma Agile Aluminum Wheelchair Big Wheels,Karma Agile Aluminum Wheelchair Big Wheels,Health & Beauty > Health Care > Mobility & Accessibility > Wheelchairs,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
karma-agile-aluminum-wheelchair-big-wheels,,,,,,,,,,,,,,,,,,,,,,,,,https://eshop.worldcloud9.com/assets/images/products/medshop/mobility/mob2/2.webp,2,,FALSE,,,,,,,,,,,,,,,,,,,,,,
