Handle	Title	Body (HTML)	Vendor	Product Category	Type	Tags	Published	Option1 Name	Option1 Value	Option2 Name	Option2 Value	Option3 Name	Option3 Value	Variant SKU	Variant Grams	Variant Inventory Tracker	Variant Inventory Qty	Variant Inventory Policy	Variant Fulfillment Service	Variant Price	Variant Compare At Price	Variant Requires Shipping	Variant Taxable	Variant Barcode	Image Src	Image Position	Image Alt Text	Gift Card	SEO Title	SEO Description	Google Shopping / Google Product Category	Google Shopping / Gender	Google Shopping / Age Group	Google Shopping / MPN	Google Shopping / AdWords Grouping	Google Shopping / AdWords Labels	Google Shopping / Condition	Google Shopping / Custom Product	Google Shopping / Custom Label 0	Google Shopping / Custom Label 1	Google Shopping / Custom Label 2	Google Shopping / Custom Label 3	Google Shopping / Custom Label 4	Variant Image	Variant Weight Unit	Variant Tax Code	Cost per item	Price / International	Compare At Price / International	Status
m-1-orth	M	<ul class='vr-list-proddesc'></ul>	Unknown	Health & Beauty > Health Care > Mobility & Accessibility > Orthopedic Care	Orthopedic Care	orthopediccare	TRUE	Title	Default Title						0			deny	manual			TRUE	TRUE		https://eshop.worldcloud9.com/assets/images/products/medshop/orthopediccare/ortho1/1.webp	1		FALSE	M	M	Health & Beauty > Health Care > Mobility & Accessibility > Orthopedic Care	Unisex	Adult				new	FALSE							g					active
protect-maternity-belt	Protect Maternity Belt	"<ul class='vr-list-proddesc'><div class='vr-list-header-proddesc'>SPECIFICATIONS</div><ul><li>Support belt to reduce back pain during pregnancy.</li><li>Fully adjustable, simple fastening ensures maximum comfort.</li><li>Posterior stays help to prevent rollover</li><li>Supports the back muscles</li><li>Easing pain and discomfort</li><li>Anatomically shaped for a contoured fit</li><li>Comfortable material with microfibers</li></ul><div class='vr-list-header-proddesc'>DETAILS</div><ul><li>Features</li><li>Support belt to reduce back pain during pregnancy.</li><li>Fully adjustable, simple fastening ensures maximum comfort.</li><li>Posterior stays help to prevent rollover</li><li>Supports the back muscles</li><li>Easing pain and discomfort</li><li>Anatomically shaped for a contoured fit</li><li>Comfortable material with microfibers</li></ul></ul>"	medi	Health & Beauty > Health Care > Mobility & Accessibility > Orthopedic Care	Orthopedic Care	orthopediccare	TRUE	Title	Default Title						0			deny	manual			TRUE	TRUE		https://eshop.worldcloud9.com/assets/images/products/medshop/orthopediccare/ortho10/1.jpg	1		FALSE	Protect Maternity Belt	Protect Maternity Belt	Health & Beauty > Health Care > Mobility & Accessibility > Orthopedic Care	Unisex	Adult				new	FALSE							g					active
protect-maternity-belt																									https://eshop.worldcloud9.com/assets/images/products/medshop/orthopediccare/ortho10/2.jpg	2																								
protect-epi-elbow-support	Protect Epi Elbow Support	"<ul class='vr-list-proddesc'><div class='vr-list-header-proddesc'>SPECIFICATIONS</div><ul><li>Breathable, elastic and light material, and anatomically-shaped knit</li><li>Anatomically-shaped silicon pads for effective pressure relief and stabilization</li><li>Removable strap for individual pressure regulation</li></ul><div class='vr-list-header-proddesc'>DETAILS</div><ul><li>Features</li><li>Breathable, elastic and light material, and anatomically-shaped knit</li><li>Anatomically-shaped silicon pads for effective pressure relief and stabilization</li><li>Removable strap for individual pressure regulation</li></ul></ul>"	medi	Health & Beauty > Health Care > Mobility & Accessibility > Orthopedic Care	Orthopedic Care	orthopediccare	TRUE	Title	Default Title						0			deny	manual			TRUE	TRUE		https://eshop.worldcloud9.com/assets/images/products/medshop/orthopediccare/ortho11/1.jpg	1		FALSE	Protect Epi Elbow Support	Protect Epi Elbow Support	Health & Beauty > Health Care > Mobility & Accessibility > Orthopedic Care	Unisex	Adult				new	FALSE							g					active
protect-epi-elbow-support																									https://eshop.worldcloud9.com/assets/images/products/medshop/orthopediccare/ortho11/2.jpeg	2																								
protect-epi-elbow-support																									https://eshop.worldcloud9.com/assets/images/products/medshop/orthopediccare/ortho11/3.jpg	3																								
protect-epi-elbow-support																									https://eshop.worldcloud9.com/assets/images/products/medshop/orthopediccare/ortho11/4.jpg	4																								
protect-epi-elbow-support																									https://eshop.worldcloud9.com/assets/images/products/medshop/orthopediccare/ortho11/5.jpeg	5																								
protect-dorsofix	Protect DorsoFix	"<ul class='vr-list-proddesc'><div class='vr-list-header-proddesc'>SPECIFICATIONS</div><ul><li>Made in an innovative material combining the characteristics of cotton and Lycra.</li><li>Equipped with shoulder straps, bars, Velcro closures, elastic straps and a front polyethylene reinforcement.</li><li>Pleasant to wear due to breathable material.</li><li>Easy adjustment to the thoracic spine due to the aluminum bars.</li><li>Available as men’s and ladies’ version.</li><li>Adjusts perfectly to the body’s anatomical shapes, providing optimum stability of the thoracolumbar segment.</li></ul><div class='vr-list-header-proddesc'>DETAILS</div><ul><li>Features</li><li>Made in an innovative material combining the characteristics of cotton and Lycra.</li><li>Equipped with shoulder straps, bars, Velcro closures, elastic straps and a front polyethylene reinforcement.</li><li>Pleasant to wear due to breathable material.</li><li>Easy adjustment to the thoracic spine due to the aluminum bars.</li><li>Available as men’s and ladies’ version.</li><li>Adjusts perfectly to the body’s anatomical shapes, providing optimum stability of the thoracolumbar segment.</li></ul></ul>"	medi	Health & Beauty > Health Care > Mobility & Accessibility > Orthopedic Care	Orthopedic Care	orthopediccare	TRUE	Title	Default Title						0			deny	manual			TRUE	TRUE		https://eshop.worldcloud9.com/assets/images/products/medshop/orthopediccare/ortho12/1.jpg	1		FALSE	Protect DorsoFix	Protect DorsoFix	Health & Beauty > Health Care > Mobility & Accessibility > Orthopedic Care	Unisex	Adult				new	FALSE							g					active
protect-dorsofix																									https://eshop.worldcloud9.com/assets/images/products/medshop/orthopediccare/ortho12/2.jpg	2																								
