Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
akcesmed-racer-evo-stroller,AkcesMed Racer Evo Stroller,"<ul class=""vr-list-proddesc""><li>RACER EVO® stroller is equipped with swivel front wheels, thanks to which parents do not have a problem with using this device.</li><div class='vr-list-header-proddesc'>SPECIFICATION</div><li> Seat width[cm]: 33-45</li><li> Seat depth[cm]: 33-47</li><li> Max. user weight[kg]: 35-90</li></ul>",AkcesMed,Health & Beauty > Health Care > Mobility & Accessibility > Pediatric Mobility,Pediatric Mobility,"pediatric, mobility, wheelchair",TRUE,Title,Default Title,,,,,,0,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/pediatricmobility/pedia1/1.webp,1,,FALSE,AkcesMed Racer Evo Stroller,AkcesMed Racer Evo Stroller,Health & Beauty > Health Care > Mobility & Accessibility > Pediatric Mobility,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
akcesmed-smart-standing-frame,AkcesMed Smart Standing Frame,"<ul class=""vr-list-proddesc""><li>Standing frame SMART™ combines the advantages of low weight, ease of use, robust design and stability. SMART™ gives the user a sense of safety and great freedom of movement within the upper limbs. The standing frame uses an innovative system UPRIGHT PRO™ – consisting of chest and pelvic braces with a very wide range of adjustment that enables to adopt the proper position.</li><li> Max. user weight[kg]: 35-95cm</li></ul>",AkcesMed,Health & Beauty > Health Care > Mobility & Accessibility > Pediatric Mobility,Pediatric Mobility,"pediatric, mobility, wheelchair",TRUE,Title,Default Title,,,,,,0,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/pediatricmobility/pedia10/1.webp,1,,FALSE,AkcesMed Smart Standing Frame,AkcesMed Smart Standing Frame,Health & Beauty > Health Care > Mobility & Accessibility > Pediatric Mobility,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
akcesmed-ulises-evo-stroller,AkcesMed Ulises Evo Stroller,"<ul class=""vr-list-proddesc""><li>ULISES EVO™ is a perfect stroller designed for daily rehabilitation of children and youth with locomotor dysfunctions. The stroller has adjustable seat depth and backrest tilt angle which greatly facilitates its functionality. With simple and light construction it can be easily folded for transporting purposes. Furthermore, relatively small size allows you to fit ULISES EVO™ into an undersized car trunk.</li><div class='vr-list-header-proddesc'>SPECIFICATIONS</div><li> Seat width[cm]: 31-43</li><li> Seat depth[cm]: 22-45</li><li> Maximum user weight[kg]: 55-75</li></ul>",AkcesMed,Health & Beauty > Health Care > Mobility & Accessibility > Pediatric Mobility,Pediatric Mobility,"pediatric, mobility, wheelchair",TRUE,Title,Default Title,,,,,,0,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/pediatricmobility/pedia2/1.webp,1,,FALSE,AkcesMed Ulises Evo Stroller,AkcesMed Ulises Evo Stroller,Health & Beauty > Health Care > Mobility & Accessibility > Pediatric Mobility,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
akcesmed-nova-evo-stroller,AkcesMed Nova Evo Stroller,"<ul class=""vr-list-proddesc""><li>NOVA® is a cosy special needs stroller for people with locomotor disabilities. It is especially recommended for spastic users as well as those requiring additional stabilization.</li><li>The stroller is easy to drive on both flat and uneven terrain. Thanks to its simple and lightweight design, the NOVA® stroller can be easily folded for transportation.</li><div class='vr-list-header-proddesc'>SPECIFICATION</div><li> Seat width[cm]: 31-41</li><li> Seat depth[cm]: 32-44</li><li> Maximum user weight[kg]: 40-90</li></ul>",AkcesMed,Health & Beauty > Health Care > Mobility & Accessibility > Pediatric Mobility,Pediatric Mobility,"pediatric, mobility, wheelchair",TRUE,Title,Default Title,,,,,,0,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/pediatricmobility/pedia3/1.webp,1,,FALSE,AkcesMed Nova Evo Stroller,AkcesMed Nova Evo Stroller,Health & Beauty > Health Care > Mobility & Accessibility > Pediatric Mobility,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
akcesmed-aurora-stroller,AkcesMed Aurora Stroller,"<ul class=""vr-list-proddesc""><li>Aurora® is an advanced special needs stroller that combines a new generation design with a modern look. The biggest advantage of the Aurora® stroller is its convenient multifunctional reversible seat. A tilt-in-space function allows for smooth adjustment of the inclination angle of the entire seat. The adjustable cushions and side supports provide excellent lateral stabilization. In addition, there is the possibility of changing the height of the headrest, the angle of the backrest and the footrest.</li><div class='vr-list-header-proddesc'>SPECIFICATION</div><li> Seat width (with narrowing pad)[cm]: 18</li><li> Seat width (without narrowing pad)[cm]: 27</li><li> Seat depth[cm]: 30</li><li> Maximum user weight[kg]: 40</li></ul>",AkcesMed,Health & Beauty > Health Care > Mobility & Accessibility > Pediatric Mobility,Pediatric Mobility,"pediatric, mobility, wheelchair",TRUE,Title,Default Title,,,,,,0,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/pediatricmobility/pedia4/1.webp,1,,FALSE,AkcesMed Aurora Stroller,AkcesMed Aurora Stroller,Health & Beauty > Health Care > Mobility & Accessibility > Pediatric Mobility,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
karma-child-wheelchair-km-cp33,Karma Child Wheelchair (KM-CP33),"<ul class=""vr-list-proddesc""><li>Design for children with Cerebral Palsy/ Muscular dystrophy. The combination of Tilt-in-space and Recline system on KM-CP33 provides a perfect pressure-free sitting environment for children.</li><div class='vr-list-header-proddesc'>SPECIFICATION</div><li> Recline System</li><li> Light and Easy to Transport</li><li> Detachable and Swing-away Footrest</li><li> Flip-back Armrest</li><li> Various Footrest Designs</li><li> Curved Head Support</li><li> Max. User Weight (kg): 80</li></ul>",Karma,Health & Beauty > Health Care > Mobility & Accessibility > Pediatric Mobility,Pediatric Mobility,"pediatric, mobility, wheelchair",TRUE,Title,Default Title,,,,,,0,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/pediatricmobility/pedia5/1.webp,1,,FALSE,Karma Child Wheelchair (KM-CP33),Karma Child Wheelchair (KM-CP33),Health & Beauty > Health Care > Mobility & Accessibility > Pediatric Mobility,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
akcesmed-activall-standing-frame,AkcesMed Activall Standing Frame,"<ul class=""vr-list-proddesc""><div class='vr-list-header-proddesc'>SPECIFICATION</div><li> Indicative user height**[cm]: 70-200</li><li>Pelvic/chest support width[cm]: 26-42</li><li>Pelvic support height[cm]: 44-120</li><li>Chest support height[cm]: 52-143</li><li>Maximum user weight[kg]:25-95</li></ul>",AkcesMed,Health & Beauty > Health Care > Mobility & Accessibility > Pediatric Mobility,Pediatric Mobility,"pediatric, mobility, wheelchair",TRUE,Title,Default Title,,,,,,0,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/pediatricmobility/pedia6/1.webp,1,,FALSE,AkcesMed Activall Standing Frame,AkcesMed Activall Standing Frame,Health & Beauty > Health Care > Mobility & Accessibility > Pediatric Mobility,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
direct-care-laka-pediatric-commode-chair-dc-813s,Direct Care Laka Pediatric Commode Chair (DC-813S),"<ul class=""vr-list-proddesc""><div class='vr-list-header-proddesc'>SPECIFICATION</div><li> Anti slide rubber base.</li><li> Special design to be suitable for the pediatric</li><li> Seat width : 35 cm</li><li> Seat height : 28 ~ 36 cm</li><li> Maximum weight : 70 kg</li><li> Product weight : 4.6 kg</li></ul>",Direct Care,Health & Beauty > Health Care > Mobility & Accessibility > Pediatric Mobility,Pediatric Mobility,"pediatric, mobility, wheelchair",TRUE,Title,Default Title,,,,,,0,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/pediatricmobility/pedia7/1.webp,1,,FALSE,Direct Care Laka Pediatric Commode Chair (DC-813S),Direct Care Laka Pediatric Commode Chair (DC-813S),Health & Beauty > Health Care > Mobility & Accessibility > Pediatric Mobility,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
akcesmed-cat1-standing-frame,AkcesMed Cat1 Standing Frame,"<ul class=""vr-list-proddesc""><li>Stander CAT I™ was created with a view to help children in adoption of the upright position. The upright standing contributes to the acquisition by children a new experience from the nearest environment and stimulates their psycho-physical development. There are many advantages during use of the CAT I™.</li><li>Adjustable tilt angle (from 25° to 85°) even with a child in the device. Extensive system of belts and supports makes the child feel safe and secure.</li><div class='vr-list-header-proddesc'>SPECIFICATION</div><li> Pelvic supports width[cm]: 12 – 23</li><li> Chest supports width[cm]: 12 – 21</li><li> Pelvic supports height adjustment[cm]: 38 – 60</li><li> Chest supports height adjustment[cm]: 50 – 72</li><li> Max. user weight[kg]: 25</li></ul>",AkcesMed,Health & Beauty > Health Care > Mobility & Accessibility > Pediatric Mobility,Pediatric Mobility,"pediatric, mobility, wheelchair",TRUE,Title,Default Title,,,,,,0,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/pediatricmobility/pedia8/1.webp,1,,FALSE,AkcesMed Cat1 Standing Frame,AkcesMed Cat1 Standing Frame,Health & Beauty > Health Care > Mobility & Accessibility > Pediatric Mobility,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
akcesmed-cat-ii-invento,AkcesMed Cat II Invento,"<ul class=""vr-list-proddesc""><li>Stander CAT II Invento™ enables individual approach to the needs of a child and his family. Correct configuration of this device makes it possible to stand in either prone or supine position depending on the locomotor system dysfunction and on medical / therapeutic indications. Infinitely adjustable tilt angle (from 0° to 90°) allows you to change the position from lying down to standing.</li><div class='vr-list-header-proddesc'>SPECIFICATION</div><li> Indicative user height*[cm]: Size 1 70 – 100 / Size 2  80 – 130</li><li> Pelvic/chest supports width[cm]: Size 13 – 27 / Size 2 18 – 31</li><li> Tilt angle[°]: 0 – 90</li><li> Max user weight[kg]: 35-45</li></ul>",AkcesMed,Health & Beauty > Health Care > Mobility & Accessibility > Pediatric Mobility,Pediatric Mobility,"pediatric, mobility, wheelchair",TRUE,Title,Default Title,,,,,,0,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/pediatricmobility/pedia9/1.webp,1,,FALSE,AkcesMed Cat II Invento,AkcesMed Cat II Invento,Health & Beauty > Health Care > Mobility & Accessibility > Pediatric Mobility,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
