Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
wego-push-chair,WeGo Push Chair,<ul class='vr-list-proddesc'><div class='vr-list-header-proddesc'>SPECIFICATIONS</div><li>Lightweight & Portable</li><li>Outdoor Use</li><li>Latex Free</li><li>Breathable Fabric</li><div class='vr-list-header-proddesc'>DETAILS</div><li>Features</li><li>Lightweight & Portable</li><li>Outdoor Use</li><li>Latex Free</li><li>Weighs 11kg</li><li>Breathable Fabric</li><li>30kg Capacity</li><li>Reclines to 140¡</li></ul>,Unknown,Health & Beauty > Health Care > Mobility & Accessibility > Special Needs Equipment,Special Needs Equipment,specialneeds,TRUE,Title,Default Title,,,,,,0,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/specialneeds/spec1/1.jpeg,1,,FALSE,WeGo Push Chair,WeGo Push Chair,Health & Beauty > Health Care > Mobility & Accessibility > Special Needs Equipment,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
wego-push-chair,,,,,,,,,,,,,,,,,,,,,,,,,https://eshop.worldcloud9.com/assets/images/products/medshop/specialneeds/spec1/2.jpeg,2,,,,,,,,,,,,,,,,,,,,,,,,
wego-push-chair,,,,,,,,,,,,,,,,,,,,,,,,,https://eshop.worldcloud9.com/assets/images/products/medshop/specialneeds/spec1/3.jpeg,3,,,,,,,,,,,,,,,,,,,,,,,,
customized-seat-mould-solution,Customized Seat Mould Solution,<ul class='vr-list-proddesc'><div class='vr-list-header-proddesc'>SPECIFICATIONS</div><li>Allowance for hip/thigh flexion and pre-ischial support</li><li>Spex positioning cushion base</li><li>Pelvic obliquity build-up</li><li>Create instant shape</li><li>Spex contouring system</li><li>Asymmetrical contouring</li><div class='vr-list-header-proddesc'>DETAILS</div><li>Features</li><li>Allowance for hip/thigh flexion and pre-ischial support</li><li>Spex positioning cushion base</li><li>Pelvic obliquity build-up</li><li>Create instant shape</li><li>Spex contouring system</li><li>Asymmetrical contouring</li></ul>,Unknown,Health & Beauty > Health Care > Mobility & Accessibility > Special Needs Equipment,Special Needs Equipment,specialneeds,TRUE,Title,Default Title,,,,,,0,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/specialneeds/spec10/1.jpeg,1,,FALSE,Customized Seat Mould Solution,Customized Seat Mould Solution,Health & Beauty > Health Care > Mobility & Accessibility > Special Needs Equipment,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
strive-adaptive-stroller,Strive Adaptive Stroller,"<ul class='vr-list-proddesc'><div class='vr-list-header-proddesc'>SPECIFICATIONS</div><li>Offered in four sizes to accommodate kids of all ages, shapes, and sizes</li><li>Folding design is lightweight and easy to carry, transport, and store</li><li>Provides the safest experience for children with special needs</li><li>Adjustable support, seat angle, and depth</li><li>Ideal for busy lifestyles and traveling</li><div class='vr-list-header-proddesc'>DETAILS</div><li>Features</li><li>Offered in four sizes to accommodate kids of all ages, shapes, and sizes</li><li>Folding design is lightweight and easy to carry, transport, and store</li><li>Provides the safest experience for children with special needs</li><li>Adjustable support, seat angle, and depth</li><li>Ideal for busy lifestyles and traveling</li></ul>",Unknown,Health & Beauty > Health Care > Mobility & Accessibility > Special Needs Equipment,Special Needs Equipment,specialneeds,TRUE,Title,Default Title,,,,,,0,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/specialneeds/spec2/1.png,1,,FALSE,Strive Adaptive Stroller,Strive Adaptive Stroller,Health & Beauty > Health Care > Mobility & Accessibility > Special Needs Equipment,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
strive-adaptive-stroller,,,,,,,,,,,,,,,,,,,,,,,,,https://eshop.worldcloud9.com/assets/images/products/medshop/specialneeds/spec2/2.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,
strive-adaptive-stroller,,,,,,,,,,,,,,,,,,,,,,,,,https://eshop.worldcloud9.com/assets/images/products/medshop/specialneeds/spec2/3.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,
strive-adaptive-stroller,,,,,,,,,,,,,,,,,,,,,,,,,https://eshop.worldcloud9.com/assets/images/products/medshop/specialneeds/spec2/4.webp,4,,,,,,,,,,,,,,,,,,,,,,,,
strive-adaptive-stroller,,,,,,,,,,,,,,,,,,,,,,,,,https://eshop.worldcloud9.com/assets/images/products/medshop/specialneeds/spec2/5.webp,5,,,,,,,,,,,,,,,,,,,,,,,,
strive-adaptive-stroller,,,,,,,,,,,,,,,,,,,,,,,,,https://eshop.worldcloud9.com/assets/images/products/medshop/specialneeds/spec2/6.webp,6,,,,,,,,,,,,,,,,,,,,,,,,
